link_id,src_bus_id,dst_bus_id,voltage,circuits,dc,underground,under_construction,length_m,tags,src_coord,dst_coord,src_country,dst_country
5157,7640,7666,380,2,f,f,f,9363.945271,'text_'=>' '  'symbol'=>'380-400 kV Transmission Line  2 Circuits'  'ogc_fid'=>'2430'  't9_code'=>'0'  'visible'=>'1'  'objectid'=>'2630'  'tie_line'=>'0'  'country_1'=>'PL'  'country_2'=>'PL',"(18.907471, 50.422519)","(19.039307, 50.443513)",PL,PL
5163,3355,7666,380,1,f,f,f,12558.814682,'text_'=>' '  'symbol'=>'380-400 kV Transmission Line  1 Circuit'  'ogc_fid'=>'2436'  't9_code'=>'0'  'visible'=>'1'  'objectid'=>'2638'  'tie_line'=>'0'  'country_1'=>'PL'  'country_2'=>'PL',"(19.14917, 50.352471)","(19.039307, 50.443513)",PL,PL
6935,5234,7667,380,1,f,f,f,19565.564117,'text_'=>' '  'symbol'=>'380-400 kV Transmission Line  1 Circuit'  'ogc_fid'=>'5395'  't9_code'=>'0'  'visible'=>'1'  'objectid'=>'6064'  'tie_line'=>'0'  'country_1'=>'IT'  'country_2'=>'IT',"(11.096191, 44.551335)","(10.843506, 44.535675)",IT,IT
8336,5230,7667,380,1,f,f,f,10304.525602,'text_'=>' '  'symbol'=>'380-400 kV Transmission Line  1 Circuit'  'ogc_fid'=>'7314'  't9_code'=>'0'  'visible'=>'1'  'objectid'=>'8113'  'tie_line'=>'0'  'country_1'=>'IT'  'country_2'=>'IT',"(10.71167, 44.543505)","(10.843506, 44.535675)",IT,IT
7076,5233,7667,380,2,f,f,f,10768.964479,'text_'=>' '  'symbol'=>'380-400 kV Transmission Line  2 Circuits'  'ogc_fid'=>'5611'  't9_code'=>'0'  'visible'=>'1'  'objectid'=>'6283'  'tie_line'=>'0'  'country_1'=>'IT'  'country_2'=>'IT',"(10.865479, 44.629573)","(10.843506, 44.535675)",IT,IT
5195,5879,7668,380,1,f,f,f,36238.834,'text_'=>' '  'symbol'=>'380-400 kV Transmission Line  1 Circuit'  'ogc_fid'=>'2467'  't9_code'=>'0'  'visible'=>'1'  'objectid'=>'2675'  'tie_line'=>'0'  'country_1'=>'PL'  'country_2'=>'PL',"(20.533447, 52.261434)","(20.126953, 52.126744)",PL,PL
5132,3290,7668,380,2,f,f,f,100771.482741,'text_'=>' '  'symbol'=>'380-400 kV Transmission Line  2 Circuits'  'ogc_fid'=>'2405'  't9_code'=>'0'  'visible'=>'1'  'objectid'=>'2605'  'tie_line'=>'0'  'country_1'=>'PL'  'country_2'=>'PL',"(19.379883, 51.330612)","(20.126953, 52.126744)",PL,PL
6481,5544,7670,380,2,f,f,f,12143.480483,'text_'=>'220'  'symbol'=>'380-400 kV Transmission Line  2 Circuits'  'ogc_fid'=>'4266'  't9_code'=>'0'  'visible'=>'1'  'objectid'=>'4609'  'tie_line'=>'0'  'country_1'=>'CH'  'country_2'=>'CH',"(8.29467799999999, 47.144897)","(8.17382799999999, 47.077604)",CH,CH
8352,5542,7670,380,2,f,f,f,9276.700057,'text_'=>'220'  'symbol'=>'380-400 kV Transmission Line  2 Circuits'  'ogc_fid'=>'7332'  't9_code'=>'0'  'visible'=>'1'  'objectid'=>'8134'  'tie_line'=>'0'  'country_1'=>'CH'  'country_2'=>'CH',"(8.261719, 47.017716)","(8.17382799999999, 47.077604)",CH,CH
6421,5625,7669,220,2,f,f,f,26921.908789,'text_'=>' '  'symbol'=>'220 kV Transmission Line  2 Circuits'  'ogc_fid'=>'4206'  't9_code'=>'0'  'visible'=>'1'  'objectid'=>'4543'  'tie_line'=>'0'  'country_1'=>'CH'  'country_2'=>'CH',"(8.129883, 46.845164)","(8.17382799999999, 47.077604)",CH,CH
